Molecular Weight,Smiles,Ligand Efficiency BEI,Ligand Efficiency BEI/MW
455.56,CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3c(n2)[C@](C)(CC(C)(C)O)OC3)cc1,17.47,0.038348406
469.59,CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3c(n2)[C@](C)(CC(C)(C)O)OC3)cc1,17.46,0.037181371
363.42,COc1cccc(Nc2nccc(-c3ccnc(N4CCOCC4)c3)n2)c1,14.69,0.040421551
283.34,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,18.94,0.066845486
284.32,CC(C)n1nc(-c2ccc(N)c(O)c2)c2c(N)ncnc21,19.15,0.067353686
356.43,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(C)CO,13.31,0.037342536
287.3,CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21,29.67,0.103271841
408.51,COc1ccc(Sc2nccc(-c3ccc4nc(NC(C)=O)sc4c3)n2)cc1,13.52,0.033095885
469.55,COc1ccc(S(=O)(=O)N(C)c2nccc(-c3ccc4nc(NC(C)=O)sc4c3)n2)cc1,13.94,0.029687999
454.53,COc1ccc(S(=O)(=O)Nc2cc(-c3ccc4nc(NC(C)=O)sc4c3)ccn2)cc1,16.58,0.03647724
476.94,CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4F)c3)cc2s1,18.78,0.039376022
347.38,CCc1nc(N)nc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,14.97,0.043094018
388.39,COc1nc(NCC#N)nc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,14.62,0.037642576
356.39,Cc1nc(N)nc(-n2c(Nc3ccc4cc[nH]c4c3)nc3ccccc32)n1,16.89,0.047391902
307.32,Cc1nc(N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,20.85,0.067844592
308.31,Cc1nc(N)nc(-n2c(Nc3ccon3)nc3ccccc32)n1,17.78,0.057669229
360.39,Cc1nc(NCCC#N)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,16.33,0.045312023
357.38,Cc1nc(N)nc(-n2c(Nc3n[nH]c4ccccc34)nc3ccccc32)n1,18.47,0.051681683
374.41,CC(=O)Nc1ccc(Nc2nc3ccccc3n2-c2nc(C)nc(N)n2)cc1,21.06,0.056248498
357.38,Cc1nc(N)nc(-n2c(Nc3ccc4cn[nH]c4c3)nc3ccccc32)n1,21.18,0.059264648
357.33,Cc1nc(N)nc(-n2c(Nc3ccn(C(F)F)n3)nc3ccccc32)n1,18.1,0.050653458
321.35,CNc1nc(C)nc(-n2c(Nc3cc[nH]n3)nc3ccccc32)n1,22.07,0.06867901
332.37,Cc1nc(N)cc(-n2c(Nc3cccc(O)c3)nc3ccccc32)n1,21.24,0.063904685
318.38,Nc1ncnc2c1c(-c1cccc3[nH]ccc13)nn2C1CCCC1,16.55,0.051981908
392.46,CC(C)n1nc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c2c(N)ncnc21,16.62,0.042348265
304.36,CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21,18.8,0.061768958
285.31,CCn1nc(-c2ccc(OC)c(O)c2)c2c(N)ncnc21,26.98,0.094563808
313.36,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC,17.58,0.056101608
334.39,CC(C)n1nc(-c2ccc3nc(NN)ccc3c2)c2c(N)ncnc21,18.26,0.054606896
319.37,CC(C)n1nc(-c2ccc3nccc(N)c3c2)c2c(N)ncnc21,15.66,0.049034036
293.29,Cn1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21,13.64,0.04650687
308.35,CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21,18.76,0.060839955
319.37,Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,19.49,0.061026396
311.32,CC(C)n1nc(-c2cc(F)c3cn[nH]c3c2)c2c(N)ncnc21,16.56,0.053192856
307.35,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,17.25,0.056124939
484.6,OCc1cccc(-c2nc(N3CCOCC3)c3ncn(C4CCN(Cc5ccccc5)CC4)c3n2)c1,12.79,0.026392901
428.5,CC(=O)N(C)c1ccc(-c2nc(N3CCOCC3)c3cnn(-c4ccccc4)c3n2)cc1,14.75,0.034422404
526.57,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,17.51,0.033252939
589.7,O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1)Nc1cccnc1,15.43,0.026165847
625.78,CN1CCN(Cc2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1,14.38,0.022979322
584.73,CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1,15.88,0.027157834
527.63,COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,15.01,0.028447965
372.43,Nc1ccc(-c2nc(N3CCOCC3)c3cnn(-c4ccccc4)c3n2)cc1,19.16,0.051445909
609.78,CN1CCC(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)c4cnn(C5CCN(Cc6ccccc6)CC5)c4n3)cc2)CC1,11.32,0.018564072
634.74,CN(C)C1CCN(C(=O)C2CCN(c3ccnc4c3c(/C=C3\Oc5ccc(NC(=O)Nc6cccnc6)cc5C3=O)cn4C)CC2)C1,12.54,0.019756121
514.58,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(N3CCC(C(=O)N4CC5CCC(C4)O5)CC3)ccnc21,16.9,0.032842318
598.74,COC[C@H]1OC(=O)/C(=C/N2CCC(N3CCCCC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,10.43,0.017419915
604.68,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)c5cccnc5)CC4)c3n2)cc1,15.02,0.024839585
693.84,COC[C@H]1OC(=O)/C(=C/N(C)CCCN2CCN(c3ccc(OC)cc3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,8.46,0.012193013
547.65,COC[C@H]1OC(=O)/C(=C/N(CCO)C(C)(C)C)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,8.3,0.015155665
501.59,CN1CCN(C(=O)C2CCN(c3ccnc4c3c(/C=C3\Oc5cccc(O)c5C3=O)cn4C)CC2)CC1,16.96,0.033812476
629.75,COC[C@H]1OC(=O)/C(=C/N2CCN(CCN3CCOCC3)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,9.86,0.015657007
390.44,CN1CCN(c2ccnc3c2c(/C=C2\Oc4cccc(O)c4C2=O)cn3C)CC1,21.93,0.056167401
601.74,COC[C@H]1OC(=O)/C(=C/N2CCN(CCCN(C)C)CC2)C2=C(O)C(=O)C3=C([C@H](OC(C)=O)C[C@]4(C)[C@@H](O)CC[C@@H]34)[C@]21C,10.97,0.018230465
321.35,CNc1cc(-c2c(Nc3cc[nH]n3)nc3cccnn23)nc(C)n1,22.41,0.069737047
401.41,Cc1nc(N)nc(-c2c(Nc3cc[nH]n3)nc3ccc(-c4cccc(F)c4)cn23)n1,18.86,0.04698438
271.28,CC(C)n1nc(-c2cc(C=O)co2)c2c(N)ncnc21,22.54,0.083087585
530.55,COc1ccc(-c2ccc3ncc4ccc(=O)n(-c5ccc(N6CCNCC6)c(C(F)(F)F)c5)c4c3c2)cc1,13.39,0.025237961
624.67,CCC(=O)N1CCN(c2ccc(N3C(=O)N(C)Cc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,10.47,0.01676085
